Team,Opening_Line,Recorded_At,Sport
Atlanta Hawks,-4.5,2026-04-01 10:36:30,basketball_nba
Orlando Magic,4.5,2026-04-01 10:36:30,basketball_nba
Philadelphia 76ers,-16.0,2026-04-01 10:36:30,basketball_nba
Washington Wizards,16.0,2026-04-01 10:36:30,basketball_nba
Boston Celtics,-5.5,2026-04-01 10:36:30,basketball_nba
Miami Heat,5.5,2026-04-01 10:36:30,basketball_nba
Houston Rockets,-17.0,2026-04-01 10:36:30,basketball_nba
Milwaukee Bucks,17.0,2026-04-01 10:36:30,basketball_nba
Memphis Grizzlies,14.5,2026-04-01 10:36:30,basketball_nba
New York Knicks,-14.5,2026-04-01 10:36:30,basketball_nba
Sacramento Kings,13.5,2026-04-01 10:36:30,basketball_nba
Toronto Raptors,-13.5,2026-04-01 10:36:30,basketball_nba
Chicago Bulls,-5.0,2026-04-01 10:36:30,basketball_nba
Indiana Pacers,5.0,2026-04-01 10:36:30,basketball_nba
Denver Nuggets,-17.0,2026-04-01 10:36:30,basketball_nba
Utah Jazz,17.0,2026-04-01 10:36:30,basketball_nba
Golden State Warriors,13.5,2026-04-01 10:36:30,basketball_nba
San Antonio Spurs,-13.5,2026-04-01 10:36:30,basketball_nba
New Mexico Lobos,-4.5,2026-04-01 10:36:30,basketball_ncaab
Tulsa Golden Hurricane,4.5,2026-04-01 10:36:30,basketball_ncaab
Auburn Tigers,-6.5,2026-04-01 10:36:30,basketball_ncaab
Illinois St Redbirds,6.5,2026-04-01 10:36:30,basketball_ncaab
Illinois Fighting Illini,-2.5,2026-04-01 10:36:30,basketball_ncaab
UConn Huskies,2.5,2026-04-01 10:36:30,basketball_ncaab
Arizona Wildcats,1.5,2026-04-01 10:36:30,basketball_ncaab
Michigan Wolverines,-1.5,2026-04-01 10:36:30,basketball_ncaab
Arizona Wildcats,-4.5,2026-04-01 10:36:30,basketball_ncaab
Illinois Fighting Illini,4.5,2026-04-01 10:36:30,basketball_ncaab
Arizona Wildcats,-5.5,2026-04-01 10:36:30,basketball_ncaab
UConn Huskies,5.5,2026-04-01 10:36:30,basketball_ncaab
Illinois Fighting Illini,5.5,2026-04-01 10:36:30,basketball_ncaab
Michigan Wolverines,-5.5,2026-04-01 10:36:30,basketball_ncaab
Michigan Wolverines,-6.5,2026-04-01 10:36:30,basketball_ncaab
UConn Huskies,6.5,2026-04-01 10:36:30,basketball_ncaab
Colorado Avalanche,1.2,2026-04-01 10:36:30,icehockey_nhl
Vancouver Canucks,4.65,2026-04-01 10:36:30,icehockey_nhl
Anaheim Ducks,1.88,2026-04-01 10:36:30,icehockey_nhl
San Jose Sharks,1.94,2026-04-01 10:36:30,icehockey_nhl
Los Angeles Kings,1.7,2026-04-01 10:36:30,icehockey_nhl
St Louis Blues,2.18,2026-04-01 10:36:30,icehockey_nhl
